"Feed Number","Title","Link","Description","Feed URL","Newsletter Signup URL"
"267","NEI - Area Commissioner Training Strategic Planning & Goal Setting - Recent Updates","https://www.columbus.gov/","NEI - Area Commissioner Training Strategic Planning & Goal Setting - Recent Updates","https://public.govdelivery.com/topics/OHCCC_267/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_267
"268","ODI - Crew Bids - Recent Updates","https://www.columbus.gov/","ODI - Crew Bids - Recent Updates","https://public.govdelivery.com/topics/OHCCC_268/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_268
"269","ODI - Crew Bids Open - Recent Updates","https://www.columbus.gov/","ODI - Crew Bids Open - Recent Updates","https://public.govdelivery.com/topics/OHCCC_269/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_269
"26","CCC - Council Public Meeting Notifications - Recent Updates","https://www.columbus.gov/","CCC - Council Public Meeting Notifications - Recent Updates","https://public.govdelivery.com/topics/OHCCC_26/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_26
"270","R&P - Youth Sports Programming Updates - Recent Updates","http://www.columbus.gov","R&P - Youth Sports Programming Updates - Recent Updates","https://public.govdelivery.com/topics/OHCCC_270/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_270
"273","NEI - MBK Partners - Recent Updates","https://www.columbus.gov/","NEI - MBK Partners - Recent Updates","https://public.govdelivery.com/topics/OHCCC_273/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_273
"279","MAY - Columbus Counts Subcommittee Chairs & Key Stakeholders - Recent Updates","https://www.columbus.gov/","MAY - Columbus Counts Subcommittee Chairs & Key Stakeholders - Recent Updates","https://public.govdelivery.com/topics/OHCCC_279/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_279
"280","R&P - Fitness, Health and Wellness Programming Updates - Recent Updates","http://www.columbus.gov","R&P - Fitness, Health and Wellness Programming Updates - Recent Updates","https://public.govdelivery.com/topics/OHCCC_280/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_280
"281","MAY - Mayor's Community Day RSVP - Recent Updates","https://www.columbus.gov/","MAY - Mayor's Community Day RSVP - Recent Updates","https://public.govdelivery.com/topics/OHCCC_281/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_281
"282","DEV – Small Business Agenda - Recent Updates","http://www.columbus.gov","DEV – Small Business Agenda - Recent Updates","https://public.govdelivery.com/topics/OHCCC_282/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_282
"283","DEV - Economic Development Division - Recent Updates","http://www.columbus.gov","DEV - Economic Development Division - Recent Updates","https://public.govdelivery.com/topics/OHCCC_283/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_283
"284","DEV - Small Business Advisory Committee - Recent Updates","http://www.columbus.gov","DEV - Small Business Advisory Committee - Recent Updates","https://public.govdelivery.com/topics/OHCCC_284/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_284
"285","DEV - Small Business Advisory Committee - Project Team Only - Recent Updates","http://www.columbus.gov","DEV - Small Business Advisory Committee - Project Team Only - Recent Updates","https://public.govdelivery.com/topics/OHCCC_285/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_285
"286","SER - Short North Permit Renewal 2020 – Residents - Recent Updates","http://www.columbus.gov","SER - Short North Permit Renewal 2020 – Residents - Recent Updates","https://public.govdelivery.com/topics/OHCCC_286/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_286
"287","SER - Short North Permit Renewal 2020 – Commercial - Recent Updates","http://www.columbus.gov","SER - Short North Permit Renewal 2020 – Commercial - Recent Updates","https://public.govdelivery.com/topics/OHCCC_287/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_287
"288","NEI Building & Zoning Training Invite List - Recent Updates","https://www.columbus.gov/","NEI Building & Zoning Training Invite List - Recent Updates","https://public.govdelivery.com/topics/OHCCC_288/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_288
"289","SER - NW Corridor Stakeholders – Group 1 - Recent Updates","http://www.columbus.gov","SER - NW Corridor Stakeholders – Group 1 - Recent Updates","https://public.govdelivery.com/topics/OHCCC_289/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_289
"28","DEV - Development News & Releases - Recent Updates","https://www.columbus.gov/","DEV - Development News & Releases - Recent Updates","https://public.govdelivery.com/topics/OHCCC_28/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_28
"290","SER - NW Corridor Stakeholders – Group 2 - Recent Updates","http://www.columbus.gov","SER - NW Corridor Stakeholders – Group 2 - Recent Updates","https://public.govdelivery.com/topics/OHCCC_290/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_290
"293","SOTC Reception Invite List - Recent Updates","https://www.columbus.gov/","SOTC Reception Invite List - Recent Updates","https://public.govdelivery.com/topics/OHCCC_293/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_293
"294","AUD - Dayforce Announcements - Recent Updates","https://www.columbus.gov/","AUD - Dayforce Announcements - Recent Updates","https://public.govdelivery.com/topics/OHCCC_294/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_294
"295","R&P - West Case Road Property Updates - Recent Updates","https://www.columbus.gov/","R&P - West Case Road Property Updates - Recent Updates","https://public.govdelivery.com/topics/OHCCC_295/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_295
"296","R&P - Volunteer Information - Recent Updates","https://www.columbus.gov/","R&P - Volunteer Information - Recent Updates","https://public.govdelivery.com/topics/OHCCC_296/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_296
"297","R&P - Athletic Complex Customers - Recent Updates","https://www.columbus.gov/","R&P - Athletic Complex Customers - Recent Updates","https://public.govdelivery.com/topics/OHCCC_297/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_297
"298","R&P - Aquatics Programming Updates - Recent Updates","https://www.columbus.gov/","R&P - Aquatics Programming Updates - Recent Updates","https://public.govdelivery.com/topics/OHCCC_298/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_298
